FID,Property_T,Typology,Address,Locality_A,Latitude,longitude,SIZE__sq_f,Rent_INR_,Deposit_IN,RentPSF,DepositPSF
1,1 RK, Apartments,"Chandivali Mhada Colony, MHADA Colony, Chandivali, Powai",Chandivali,19.11134,72.89669,280,17500,30000,62.5,107.1428571
2,1 RK, Apartments,"Mahim West, Mahim",Mahim West,19.03201,72.8401,400,30000,100000,75,250
3,1 RK, Apartments,NA,Chembur East,19.05361,72.90057,1000,40000,300000,40,300
4,1 RK, Apartments,"Sher- E- Punjab Colony, Andheri East",Andheri East,19.12595,72.86105,450,21000,75000,46.66666667,166.6666667
5,1 RK, Apartments,"Ahimsa Enclave, Ahimsa Marg, Sunder Nagar, Goregaon West",Malad West,19.17537,72.83819,375,23000,75000,61.33333333,200
6,1 RK, Apartments,"Shere Punjab Soc., Prem Lane, Anand Vihar, Sher E Punjab Colony, Jogeshwari East",Andheri East,19.12759,72.86127,550,15000,50000,27.27272727,90.90909091
7,1 RK, Apartments,"Gulmohar Road, MHADA Colony, Juhu",Juhu,19.09882,72.83207,300,30000,100000,100,333.3333333
8,1 RK, Apartments,Chembur East,Chembur East,19.0328,72.89635,450,20000,75000,44.44444444,166.6666667
9,1 RK, Apartments,Breach Candy,Breach Candy,18.97463,72.8065,500,51000,150000,102,300
10,1 RK, Apartments,Andheri East,Chakala,19.11549,72.8727,500,25000,75000,50,150
11,1 RK, Apartments,"Hiranandani Gardens, Powai",IIT Powai,19.11538,72.90914,400,28000,75000,70,187.5
12,1 RK, Apartments,NA,Andheri East,19.07598,72.87766,400,18000,50000,45,125
13,1 RK, Apartments,Goregaon East,Aarey Milk Colony,19.15515,72.86786,425,18000,50000,42.35294118,117.6470588
14,1 RK, Apartments,Worli,Worli,18.9872015,72.8290456,450,45000,100000,100,222.2222222
15,1 RK, Apartments,"Rokadia lane, Borivali west,",Borivali West,19.07598,72.87766,550,18000,80000,32.72727273,145.4545455
16,1 RK, Apartments,"Kanakia Park, Mira Road East, Mira Bhayandar",Mira Road,19.30138,72.8774,395,9500,50000,24.05063291,126.5822785
17,1 RK, Apartments,Malad West,Malad West,19.18275,72.84016,400,21000,60000,52.5,150
18,1 RK, Apartments,"1406-A/16E,Link Road,Mindspace,Malad West",Malad West,19.18513,72.83632,400,18000,50000,45,125
19,1 RK, Apartments,"5,Magan Nathuram Road,Jarimari,Sakinaka",Jogeshwari East,19.09014,72.8812,325,15000,50000,46.15384615,153.8461538
20,1 RK, Houses,Bandra West,Pali Hill,19.06069,72.83625,400,37000,0,92.5,0
21,1 RK, Apartments,"Elphinstone Road, Saidham Nagar, Parel",Elphinstone Road,19.0075336,72.8359346,500,30000,50000,60,100
22,1 RK, Apartments,"Chitra Cinema, Gautam Nagar, Dadar",Dadar (C R),19.01385,72.84467,600,35000,100000,58.33333333,166.6666667
23,1 RK, Apartments,"Nalasopara West, Nala Sopara",Nalasopara West,19.41834,72.7956,485,3500,15000,7.216494845,30.92783505
24,1 RK, Apartments,"1,Marol Maroshi Road,Sankasth Pada Welfare Society,Marol,Andheri East",Andheri East,19.11718,72.87893,375,20000,85000,53.33333333,226.6666667
25,1 RK, Apartments,Santacruz East,Santacruz East,19.07937,72.85626,550,30000,100000,54.54545455,181.8181818
26,1 RK, Apartments,"Dombivali Station (E), Manpada Road, Krishna Radha Society, Dombivli East, Dombivli",Dombivali East,19.20572,73.09553,655,7200,50000,10.99236641,76.33587786
27,1 RK, Apartments,Worli,Worli,18.9872,72.82905,400,45000,100000,112.5,250
28,1 RK, Apartments,bldg no 27 rmms gokuldham goregaon east,Goregaon East,19.07598,72.87766,450,17000,50000,37.77777778,111.1111111
29,1 RK, Apartments,Bandra West,Bandra West,19.06069,72.83625,300,45000,150000,150,500
30,1 RK, Apartments,"249,Senapati Bapat Marg,Babasaheb Ambedkar Nagar,Dadar West",Dadar West,19.01546,72.84017,250,23000,50000,92,200
31,1 RK, Apartments,"Thakur Village, Kandivali East",Thakur Village,19.21083,72.87474,250,12000,40000,48,160
32,1 RK, Apartments,"Service Road,Chakala,Andheri East",Andheri East,19.11731,72.85552,310,16000,40000,51.61290323,129.0322581
33,1 RK, Apartments,Virar,Virar East,19.45636,72.79246,360,4500,20000,12.5,55.55555556
34,1 RK, Apartments,Hiranandani,Powai,19.11968,72.90508,400,20000,50000,50,125
35,1 RK, Apartments,"15/B,Shivdham Complex,Dindoshi,Malad East",Goregaon East,19.17513,72.86189,450,18500,50000,41.11111111,111.1111111
36,1 RK, Apartments,"Thakur Complex, Kandivali East",Kandivali East,19.20954,72.86411,410,30000,200000,73.17073171,487.804878
37,1 RK, Apartments,"Vasant Valley Road, Suchi Dham, Dindoshi, Malad East",Malad East,19.17689,72.86326,350,20000,40000,57.14285714,114.2857143
38,1 RK, Apartments,"Off Linking Road, Khar West",Bandra West,19.06766,72.83362,500,50000,200000,100,400
39,1 RK, Apartments,Goregaon East,Goregaon East,19.1551485,72.8678551,300,12000,50000,40,166.6666667
40,1 RK, Apartments,"29th Road, Bandra West",Bandra West,19.06069,72.83625,500,45000,250000,90,500
41,1 RK, Apartments,"Gokuldham Colony, Goregaon East",Goregaon East,19.1702821,72.8698946,400,15000,50000,37.5,125
42,1 RK, Apartments,"Thakur Complex, Kandivali East",Kandivali East,19.20954,72.86411,350,14000,50000,40,142.8571429
43,1 RK, Apartments,Andheri East,Andheri East,19.11549,72.8727,180,17000,35000,94.44444444,194.4444444
44,1 RK, Apartments,"Dayal Building,Appasaheb Marathe Marg,Century Bazaar,Prabhadevi",Prabhadevi,19.01318,72.82748,350,33000,100000,94.28571429,285.7142857
45,1 RK, Apartments,"8,Mahatma Jyotiba Phule Road,Nabard Nagar,Saraf Chaudhary Nagar,Kandivali East",Kandivali East,19.20645,72.86572,410,19000,60000,46.34146341,146.3414634
46,1 RK, Apartments,"Nalasopara West, Nala Sopara",Nalasopara West,19.41834,72.7956,380,5000,30000,13.15789474,78.94736842
47,1 RK, Apartments,Ghatkopar West,Ghatkoparwest,19.0908063,72.9076669,535,22000,88000,41.12149533,164.4859813
