WKT,Join_Count,TARGET_FID,OPEN_LAND,RESIDENTIA,COMMERCIAL,COMMERC_01,INDUSTRIAL
"MULTIPOLYGON (((275157.6981 2103658.8738,274957.6981 2103658.8738,274857.6981 2103832.0788,274957.6981 2104005.2839,275157.6981 2104005.2839,275257.6981 2103832.0788,275157.6981 2103658.8738)))","2","0",70700.00000000000,156800.00000000000,195400.00000000000,235100.00000000000,156800.00000000000
"MULTIPOLYGON (((279657.6981 2117342.0751,279457.6981 2117342.0751,279357.6981 2117515.2802,279457.6981 2117688.4853,279657.6981 2117688.4853,279757.6981 2117515.2802,279657.6981 2117342.0751)))","2","1",20500.00000000000,52600.00000000000,64150.00000000000,78600.00000000000,52600.00000000000
"MULTIPOLYGON (((275157.6981 2131025.2765,274957.6981 2131025.2765,274857.6981 2131198.4816,274957.6981 2131371.6867,275157.6981 2131371.6867,275257.6981 2131198.4816,275157.6981 2131025.2765)))","1","2",47300.00000000000,104900.00000000000,138800.00000000000,172900.00000000000,107800.00000000000
"MULTIPOLYGON (((276057.6981 2126002.3291,275857.6981 2126002.3291,275757.6981 2126175.5343,275857.6981 2126348.7393,276057.6981 2126348.7393,276157.6981 2126175.5343,276057.6981 2126002.3291)))","5","3",74880.00000000000,144620.00000000000,186000.00000000000,236760.00000000000,144540.00000000000
"MULTIPOLYGON (((272457.6981 2119420.5361,272257.6981 2119420.5361,272157.6981 2119593.7412,272257.6981 2119766.9463,272457.6981 2119766.9463,272557.6981 2119593.7412,272457.6981 2119420.5361)))","3","4",79066.66666670000,143866.66666700001,184833.33333299999,218666.66666700001,143866.66666700001
"MULTIPOLYGON (((285057.6981 2119420.5361,284857.6981 2119420.5361,284757.6981 2119593.7412,284857.6981 2119766.9463,285057.6981 2119766.9463,285157.6981 2119593.7412,285057.6981 2119420.5361)))","2","5",51650.00000000000,108800.00000000000,119700.00000000000,220750.00000000000,108800.00000000000
"MULTIPOLYGON (((275757.6981 2113011.9481,275557.6981 2113011.9481,275457.6981 2113185.1532,275557.6981 2113358.3583,275757.6981 2113358.3583,275857.6981 2113185.1532,275757.6981 2113011.9481)))","1","6",54900.00000000000,109100.00000000000,131100.00000000000,163900.00000000000,109100.00000000000
"MULTIPOLYGON (((272457.6981 2106603.3601,272257.6981 2106603.3601,272157.6981 2106776.5652,272257.6981 2106949.7703,272457.6981 2106949.7703,272557.6981 2106776.5652,272457.6981 2106603.3601)))","1","7",87100.00000000000,193300.00000000000,205100.00000000000,249200.00000000000,195100.00000000000
"MULTIPOLYGON (((278757.6981 2106430.155,278557.6981 2106430.155,278457.6981 2106603.3601,278557.6981 2106776.5652,278757.6981 2106776.5652,278857.6981 2106603.3601,278757.6981 2106430.155)))","2","8",46150.00000000000,95650.00000000000,117150.00000000000,146800.00000000000,95650.00000000000
"MULTIPOLYGON (((272457.6981 2093786.1842,272257.6981 2093786.1842,272157.6981 2093959.3892,272257.6981 2094132.5943,272457.6981 2094132.5943,272557.6981 2093959.3892,272457.6981 2093786.1842)))","1","9",91100.00000000000,202100.00000000000,252700.00000000000,303200.00000000000,202100.00000000000
"MULTIPOLYGON (((271557.6981 2092920.1587,271357.6981 2092920.1587,271257.6981 2093093.3638,271357.6981 2093266.5689,271557.6981 2093266.5689,271657.6981 2093093.3638,271557.6981 2092920.1587)))","3","10",183833.33333299999,380000.00000000000,446533.33333300002,522366.66666699998,380166.66666699998
"MULTIPOLYGON (((271557.6981 2096037.8502,271357.6981 2096037.8502,271257.6981 2096211.0553,271357.6981 2096384.2604,271557.6981 2096384.2604,271657.6981 2096211.0553,271557.6981 2096037.8502)))","7","11",100757.14285700000,193671.42857100000,319214.28571400000,369142.85714300000,193671.42857100000
"MULTIPOLYGON (((268857.6981 2098635.9264,268657.6981 2098635.9264,268557.6981 2098809.1315,268657.6981 2098982.3365,268857.6981 2098982.3365,268957.6981 2098809.1315,268857.6981 2098635.9264)))","3","12",316933.33333300002,645766.66666700004,702800.00000000000,932066.66666700004,686100.00000000000
"MULTIPOLYGON (((271557.6981 2098809.1315,271357.6981 2098809.1315,271257.6981 2098982.3365,271357.6981 2099155.5417,271557.6981 2099155.5417,271657.6981 2098982.3365,271557.6981 2098809.1315)))","4","13",74750.00000000000,161075.00000000000,205500.00000000000,242425.00000000000,170975.00000000000
"MULTIPOLYGON (((274557.6981 2101580.4128,274357.6981 2101580.4128,274257.6981 2101753.6178,274357.6981 2101926.8229,274557.6981 2101926.8229,274657.6981 2101753.6178,274557.6981 2101580.4128)))","1","14",21800.00000000000,73800.00000000000,116900.00000000000,152500.00000000000,116900.00000000000
"MULTIPOLYGON (((271557.6981 2101580.4128,271357.6981 2101580.4128,271257.6981 2101753.6178,271357.6981 2101926.8229,271557.6981 2101926.8229,271657.6981 2101753.6178,271557.6981 2101580.4128)))","2","15",76350.00000000000,181050.00000000000,199050.00000000000,221950.00000000000,181050.00000000000
"MULTIPOLYGON (((271557.6981 2104351.6941,271357.6981 2104351.6941,271257.6981 2104524.8992,271357.6981 2104698.1042,271557.6981 2104698.1042,271657.6981 2104524.8992,271557.6981 2104351.6941)))","1","16",111100.00000000000,246400.00000000000,295100.00000000000,437700.00000000000,260900.00000000000
"MULTIPOLYGON (((274557.6981 2104351.6941,274357.6981 2104351.6941,274257.6981 2104524.8992,274357.6981 2104698.1042,274557.6981 2104698.1042,274657.6981 2104524.8992,274557.6981 2104351.6941)))","3","17",93900.00000000000,197166.66666700001,253433.33333299999,319266.66666699998,199700.00000000000
"MULTIPOLYGON (((277257.6981 2104524.8992,277057.6981 2104524.8992,276957.6981 2104698.1042,277057.6981 2104871.3093,277257.6981 2104871.3093,277357.6981 2104698.1042,277257.6981 2104524.8992)))","1","18",43200.00000000000,95400.00000000000,103400.00000000000,138700.00000000000,96600.00000000000
"MULTIPOLYGON (((280257.6981 2104524.8992,280057.6981 2104524.8992,279957.6981 2104698.1042,280057.6981 2104871.3093,280257.6981 2104871.3093,280357.6981 2104698.1042,280257.6981 2104524.8992)))","1","19",17600.00000000000,44500.00000000000,53900.00000000000,66800.00000000000,50200.00000000000
"MULTIPOLYGON (((283257.6981 2107296.1805,283057.6981 2107296.1805,282957.6981 2107469.3855,283057.6981 2107642.5906,283257.6981 2107642.5906,283357.6981 2107469.3855,283257.6981 2107296.1805)))","1","20",14100.00000000000,37100.00000000000,46200.00000000000,65700.00000000000,40400.00000000000
"MULTIPOLYGON (((280257.6981 2107296.1805,280057.6981 2107296.1805,279957.6981 2107469.3855,280057.6981 2107642.5906,280257.6981 2107642.5906,280357.6981 2107469.3855,280257.6981 2107296.1805)))","5","21",68960.00000000000,122320.00000000000,148680.00000000000,183780.00000000000,123440.00000000000
"MULTIPOLYGON (((277257.6981 2107296.1805,277057.6981 2107296.1805,276957.6981 2107469.3855,277057.6981 2107642.5906,277257.6981 2107642.5906,277357.6981 2107469.3855,277257.6981 2107296.1805)))","1","22",19100.00000000000,48700.00000000000,59100.00000000000,75000.00000000000,56100.00000000000
"MULTIPOLYGON (((274557.6981 2107469.3855,274357.6981 2107469.3855,274257.6981 2107642.5906,274357.6981 2107815.7957,274557.6981 2107815.7957,274657.6981 2107642.5906,274557.6981 2107469.3855)))","2","23",31900.00000000000,76500.00000000000,89600.00000000000,107350.00000000000,78150.00000000000
"MULTIPOLYGON (((271557.6981 2107469.3855,271357.6981 2107469.3855,271257.6981 2107642.5906,271357.6981 2107815.7957,271557.6981 2107815.7957,271657.6981 2107642.5906,271557.6981 2107469.3855)))","3","24",147833.33333299999,246533.33333299999,298833.33333300002,373066.66666699998,253766.66666700001
"MULTIPOLYGON (((271557.6981 2110240.6668,271357.6981 2110240.6668,271257.6981 2110413.8719,271357.6981 2110587.077,271557.6981 2110587.077,271657.6981 2110413.8719,271557.6981 2110240.6668)))","3","25",170800.00000000000,284733.33333300002,326500.00000000000,414800.00000000000,284733.33333300002
"MULTIPOLYGON (((274557.6981 2110240.6668,274357.6981 2110240.6668,274257.6981 2110413.8719,274357.6981 2110587.077,274557.6981 2110587.077,274657.6981 2110413.8719,274557.6981 2110240.6668)))","2","26",125750.00000000000,209650.00000000000,261750.00000000000,318350.00000000000,209650.00000000000
"MULTIPOLYGON (((277257.6981 2110067.4617,277057.6981 2110067.4617,276957.6981 2110240.6668,277057.6981 2110413.8719,277257.6981 2110413.8719,277357.6981 2110240.6668,277257.6981 2110067.4617)))","4","27",30725.00000000000,68625.00000000000,87900.00000000000,114875.00000000000,76950.00000000000
"MULTIPOLYGON (((280257.6981 2110067.4617,280057.6981 2110067.4617,279957.6981 2110240.6668,280057.6981 2110413.8719,280257.6981 2110413.8719,280357.6981 2110240.6668,280257.6981 2110067.4617)))","2","28",49800.00000000000,97550.00000000000,122800.00000000000,181100.00000000000,112800.00000000000
"MULTIPOLYGON (((280257.6981 2113185.1532,280057.6981 2113185.1532,279957.6981 2113358.3583,280057.6981 2113531.5634,280257.6981 2113531.5634,280357.6981 2113358.3583,280257.6981 2113185.1532)))","3","29",64866.66666670000,118066.66666700000,144200.00000000000,178333.33333299999,118066.66666700000
"MULTIPOLYGON (((277257.6981 2113185.1532,277057.6981 2113185.1532,276957.6981 2113358.3583,277057.6981 2113531.5634,277257.6981 2113531.5634,277357.6981 2113358.3583,277257.6981 2113185.1532)))","3","30",57233.33333330000,104766.66666700000,118900.00000000000,144766.66666700001,105366.66666700000
"MULTIPOLYGON (((274557.6981 2113011.9481,274357.6981 2113011.9481,274257.6981 2113185.1532,274357.6981 2113358.3583,274557.6981 2113358.3583,274657.6981 2113185.1532,274557.6981 2113011.9481)))","3","31",52766.66666670000,108100.00000000000,127200.00000000000,160033.33333299999,115866.66666700000
"MULTIPOLYGON (((271557.6981 2113011.9481,271357.6981 2113011.9481,271257.6981 2113185.1532,271357.6981 2113358.3583,271557.6981 2113358.3583,271657.6981 2113185.1532,271557.6981 2113011.9481)))","1","32",195200.00000000000,325300.00000000000,357900.00000000000,487800.00000000000,325300.00000000000
"MULTIPOLYGON (((271557.6981 2115783.2294,271357.6981 2115783.2294,271257.6981 2115956.4345,271357.6981 2116129.6396,271557.6981 2116129.6396,271657.6981 2115956.4345,271557.6981 2115783.2294)))","6","33",111633.33333300000,186150.00000000000,230000.00000000000,287533.33333300002,186150.00000000000
"MULTIPOLYGON (((274557.6981 2115783.2294,274357.6981 2115783.2294,274257.6981 2115956.4345,274357.6981 2116129.6396,274557.6981 2116129.6396,274657.6981 2115956.4345,274557.6981 2115783.2294)))","4","34",54975.00000000000,107850.00000000000,131300.00000000000,188675.00000000000,110425.00000000000
"MULTIPOLYGON (((277257.6981 2115956.4345,277057.6981 2115956.4345,276957.6981 2116129.6396,277057.6981 2116302.8447,277257.6981 2116302.8447,277357.6981 2116129.6396,277257.6981 2115956.4345)))","2","35",58350.00000000000,106600.00000000000,133700.00000000000,164800.00000000000,114250.00000000000
"MULTIPOLYGON (((282957.6981 2115783.2294,282757.6981 2115783.2294,282657.6981 2115956.4345,282757.6981 2116129.6396,282957.6981 2116129.6396,283057.6981 2115956.4345,282957.6981 2115783.2294)))","1","36",64900.00000000000,129300.00000000000,155100.00000000000,194000.00000000000,129300.00000000000
"MULTIPOLYGON (((282957.6981 2118900.9209,282757.6981 2118900.9209,282657.6981 2119074.1259,282757.6981 2119247.331,282957.6981 2119247.331,283057.6981 2119074.1259,282957.6981 2118900.9209)))","2","37",61600.00000000000,115100.00000000000,136250.00000000000,170650.00000000000,115100.00000000000
